Row,1e-13,1.1768e-13,1.3849e-13,1.6298e-13,1.9179e-13,2.257e-13,2.6561e-13,3.1257e-13,3.6784e-13,4.3288e-13,5.0941e-13,5.9948e-13,7.0548e-13,8.3022e-13,9.7701e-13,1.1498e-12,1.353e-12,1.5923e-12,1.8738e-12,2.2051e-12,2.595e-12,3.0539e-12,3.5938e-12,4.2292e-12,4.977e-12,5.857e-12,6.8926e-12,8.1113e-12,9.5455e-12,1.1233e-11,1.3219e-11,1.5557e-11,1.8307e-11,2.1544e-11,2.5354e-11,2.9836e-11,3.5112e-11,4.132e-11,4.8626e-11,5.7224e-11,6.7342e-11,7.9248e-11,9.326e-11,1.0975e-10,1.2915e-10,1.5199e-10,1.7886e-10,2.1049e-10,2.4771e-10,2.9151e-10,3.4305e-10,4.037e-10,4.7508e-10,5.5908e-10,6.5793e-10,7.7426e-10,9.1116e-10,1.0723e-09,1.2619e-09,1.485e-09,1.7475e-09,2.0565e-09,2.4201e-09,2.848e-09,3.3516e-09,3.9442e-09,4.6416e-09,5.4623e-09,6.4281e-09,7.5646e-09,8.9022e-09,1.0476e-08,1.2328e-08,1.4508e-08,1.7074e-08,2.0092e-08,2.3645e-08,2.7826e-08,3.2745e-08,3.8535e-08,4.5349e-08,5.3367e-08,6.2803e-08,7.3907e-08,8.6975e-08,1.0235e-07,1.2045e-07,1.4175e-07,1.6681e-07,1.963e-07,2.3101e-07,2.7186e-07,3.1993e-07,3.7649e-07,4.4306e-07,5.214e-07,6.1359e-07,7.2208e-07,8.4975e-07,1e-06
240,4.44743682223446e-23,4.46215734453107e-23,4.46004069520663e-23,7.09854851063749e-23,7.41070425070052e-23,7.73564329352492e-23,8.07387351008852e-23,8.42591953004735e-23,8.79232368594067e-23,9.17364741847949e-23,9.57047362153396e-23,9.9834083151005e-23,1.04130912462657e-22,1.08601956306273e-22,1.13254485649801e-22,1.18096405796357e-22,1.23136488360989e-22,1.28384667397861e-22,1.33852406724301e-22,1.39553133392631e-22,1.45502828858268e-22,1.51720803172773e-22,1.58230698221215e-22,1.65061927911306e-22,1.72252267431257e-22,1.79851890821649e-22,1.8793111157769e-22,1.96593199315076e-22,2.05994724624152e-22,2.1637250480225e-22,2.28067534027707e-22,2.41522521652089e-22,2.57230243639325e-22,2.75701110125785e-22,2.97828029977521e-22,3.26701198997392e-22,3.72296079511822e-22,4.56994842935623e-22,6.41438090296024e-22,1.38873562513733e-21,9.45232532185004e-21,6.69041268116172e-20,7.95111425283806e-20,4.11696926157935e-20,7.83223257006567e-21,1.2180652439231e-22,5.16950743395782e-25,1.20834441958752e-26,1.76707827294179e-27,7.69774976196444e-28,6.37189399680082e-28,8.41322720560536e-28,7.69479321620899e-28,6.06540089341597e-27,1.81583745441117e-26,5.47573822363658e-25,5.6625267364149e-24,1.23741379562117e-23,4.95072788061242e-23,1.17209231995314e-22,2.12917406320585e-22,3.32879728423572e-22,4.71644881626303e-22,1.49669663946177e-21,2.20281316023408e-21,3.14018447469485e-21,4.34484273572831e-21,5.84468722065168e-21,7.6565248046085e-21,9.78403634315176e-21,1.22164541467424e-20,1.49275324380762e-20,1.78743874553809e-20,2.09960145411575e-20,2.42116495574803e-20,2.74193445013483e-20,3.04956866142373e-20,4.5993134407291e-20,5.32351706025614e-20,6.13029049654315e-20,7.02848243167926e-20,8.02772874751962e-20,9.13824523477195e-20,1.03704991165437e-19,1.17347263408256e-19,1.32402485179555e-19,1.48945360037668e-19,1.67019799375243e-19,1.86623479759889e-19,2.07688955393077e-19,2.30062191838376e-19,2.53479199963622e-19,3.13221620720385e-19,3.52492287452908e-19,3.96492539905136e-19,4.45777193100284e-19,5.00957409922302e-19,5.62702449507123e-19,6.31739379035229e-19,7.08849714126559e-19
240.3333,4.91601953479274e-23,5.00410180536364e-23,5.07941291298438e-23,5.14045902651094e-23,5.18580540677954e-23,7.52282288845582e-23,7.86005194039729e-23,8.21180185986387e-23,8.57876619302019e-23,8.96168334930332e-23,9.3613424036186e-23,9.77858849846994e-23,1.02143343729346e-22,1.06695684862392e-22,1.11453722847545e-22,1.16429379199613e-22,1.21635947399758e-22,1.27088389588932e-22,1.32803788353788e-22,1.38801840450628e-22,1.45105564500158e-22,1.51742161507499e-22,1.58744187231577e-22,1.66151210296546e-22,1.74012270449956e-22,1.82389793700424e-22,1.9136629486977e-22,2.01055329518386e-22,2.11619611330658e-22,2.23296905468876e-22,2.36431467829682e-22,2.51499943553392e-22,2.69124401404734e-22,2.90134046164777e-22,3.15978448606345e-22,3.50406298528167e-22,4.04333638058506e-22,5.06667556195498e-22,7.58430131702635e-22,1.92014503238219e-21,1.51965668969098e-20,7.74601839540897e-20,7.68094265009688e-20,3.70776850095895e-20,5.65449879091068e-21,6.27519202230126e-23,2.58223696659278e-25,6.86046818059064e-27,1.09972135942113e-27,4.95835068613336e-28,4.05153878798006e-28,5.08971456432673e-28,6.14809962046309e-28,3.34550498728538e-27,1.29580521230358e-26,2.55904461008155e-25,2.48959804161014e-24,7.71856362251634e-24,3.00922040795287e-23,7.39656365709898e-23,1.4269312340335e-22,2.39460641132323e-22,3.66572689964709e-22,5.22908886012394e-22,1.51379703534134e-21,2.26142982636032e-21,3.27101456458764e-21,4.58731420094718e-21,6.24682553999173e-21,8.27427094594775e-21,1.06802428550744e-20,1.34597936335319e-20,1.65914953041906e-20,2.00363351059137e-20,2.37361568857031e-20,2.76114563473418e-20,3.15591090598274e-20,3.54505676106896e-20,5.13819500747198e-20,5.956397954067e-20,6.86798922672724e-20,7.88312305611834e-20,9.01300964021202e-20,1.02697457148798e-19,1.16660379111134e-19,1.32147714816414e-19,1.49283845644006e-19,1.68179808819147e-19,1.88921362287744e-19,2.11553382424291e-19,2.36060371899817e-19,2.62343037092229e-19,2.90191764716304e-19,3.51888853082841e-19,3.95965088164519e-19,4.45341299200659e-19,5.00641963951143e-19,5.62557281656673e-19,6.31846613329025e-19,7.0934031566601e-19
240.6667,5.16221889321687e-23,5.31133775698514e-23,5.45364452271457e-23,5.58759996568249e-23,5.71161293535931e-23,5.82405126866558e-23,5.92326881617678e-23,7.96589143440128e-23,8.33049004002589e-23,8.71157598892389e-23,9.11005813501025e-23,9.52692410962882e-23,9.96325189001136e-23,1.042022516588e-22,1.08991506434601e-22,1.1401480905139e-22,1.19288449289991e-22,1.24830830147639e-22,1.30662956753012e-22,1.36809044337742e-22,1.43297261782659e-22,1.50160825536606e-22,1.57439268772469e-22,1.65180362238865e-22,1.73442747810392e-22,1.82299980130324e-22,1.91846832384936e-22,2.02209671725138e-22,2.13563095781004e-22,2.26155940411293e-22,2.40348519559542e-22,2.56661865684828e-22,2.75848522047889e-22,2.99055453008084e-22,3.2836119723825e-22,3.6857741877403e-22,4.32857728561309e-22,5.60233272658062e-22,9.10845005517837e-22,2.75517400434696e-21,2.36192927843478e-20,8.51966956048989e-20,7.33040757130659e-20,3.2473909949664e-20,3.82416050385157e-21,3.04045486217916e-23,1.26121109041108e-25,3.85830013648458e-27,6.79952476631122e-28,3.18681517595048e-28,2.59431484252006e-28,3.14094007475345e-28,4.44385092024495e-28,1.82941578244973e-27,8.16446745868754e-27,1.15686824317764e-25,5.05903865484957e-25,4.23829199145569e-24,1.6306833196401e-23,4.16817356797217e-23,8.52219846273811e-23,1.53013167768591e-22,2.52191037306654e-22,3.89126827564004e-22,5.66576136876623e-22,1.52794666948324e-21,2.31855769117891e-21,3.40310389007453e-21,4.83658802544963e-21,6.66576509233613e-21,8.92492045921871e-21,1.16330688472483e-20,1.47924334274975e-20,1.83876040996947e-20,2.23846936469154e-20,2.67297660102124e-20,3.13464719848632e-20,3.61328681970725e-20,4.9088376778148e-20,5.73746046228125e-20,6.66141136987666e-20,7.69085079466109e-20,8.83733860964582e-20,1.01137797208564e-19,1.15342979708968e-19,1.31140099632585e-19,1.48686563197391e-19,1.68140410948403e-19,1.89652193675734e-19,2.13353581732168e-19,2.39342103444263e-19,2.67661478194681e-19,2.98276984247943e-19,3.31046693723565e-19,3.95235575800024e-19,4.4469084019248e-19,5.00081291224593e-19,5.62108106275653e-19,6.31548145121019e-19,7.09259123222278e-19
241,5.21991247025949e-23,5.41257172395093e-23,5.60434822916991e-23,5.79405617359051e-23,5.98039850960091e-23,6.16196614377008e-23,6.33725502885447e-23,6.50467465548597e-23,6.66258647607428e-23,8.43090287626185e-23,8.82590493046401e-23,9.23971867483667e-23,9.67352122067687e-23,1.01286136823721e-22,1.06064423914624e-22,1.11086256133545e-22,1.16369858306972e-22,1.21935923070791e-22,1.27808136431194e-22,1.34013869531317e-22,1.405850496404e-22,1.47559347501055e-22,1.54981710251577e-22,1.62906497893831e-22,1.71400469713543e-22,1.80547166612621e-22,1.90453597308463e-22,2.01260773806669e-22,2.13160755892431e-22,2.26424122115516e-22,2.41444165788702e-22,2.58807677313933e-22,2.79419898282157e-22,3.04777238755735e-22,3.3770196215127e-22,3.84555753554147e-22,4.62434096252332e-22,6.26302533493137e-22,1.1290005327454e-21,4.1265483217497e-21,3.48014796601563e-20,8.98512949321001e-20,6.26752778094369e-20,2.75188214189199e-20,2.41907755203055e-21,1.40985086737423e-23,6.14864607504121e-26,2.18853615621884e-27,4.24494226817395e-28,2.07252725428115e-28,1.69021934187838e-28,1.98722436324466e-28,3.02048941913501e-28,1.01006281370029e-27,4.72885693677352e-27,5.17348055638579e-26,2.88707188702032e-25,2.10162936224941e-24,8.03580094478243e-24,2.13086684638713e-23,4.59405655120122e-23,8.77640070455736e-23,1.54930657242676e-22,2.57401616899292e-22,4.05211501001173e-22,9.65174664811453e-22,1.54057822032618e-21,2.37473997481297e-21,3.53630740146397e-21,5.09206874201579e-21,7.10081765647461e-21,9.60823434203736e-21,1.26434723221235e-20,1.62174324100477e-20,2.03220769674243e-20,2.49298841672622e-20,2.99926087739308e-20,3.5438778940024e-20,4.11701194987672e-20,5.46804541957913e-20,6.40331641228215e-20,7.44623015837751e-20,8.60818589367019e-20,9.90225881346857e-20,1.13431814543357e-19,1.29472619707735e-19,1.47322113897764e-19,1.67168439446608e-19,1.89205925562005e-19,2.13627782115388e-19,2.40615633234234e-19,2.70324912213886e-19,3.02865435295842e-19,3.38276584252404e-19,3.7649669296993e-19,4.43815134899708e-19,4.99290665942959e-19,5.61409029126773e-19,6.30956031965567e-19,7.08803818784225e-19
241.3333,5.13605929535988e-23,5.35530026496125e-23,5.57846416312978e-23,5.80486161363576e-23,6.03368834091795e-23,6.26402545781733e-23,6.49483716093859e-23,6.7249724231189e-23,6.95317137324793e-23,7.1780703543601e-23,7.39823875981618e-23,7.61217448527374e-23,9.35205162998754e-23,9.80321056476292e-23,1.02775932940138e-22,1.07769289906073e-22,1.13031745213806e-22,1.18585604134394e-22,1.24456508459828e-22,1.30674194863109e-22,1.37273504767234e-22,1.44295690246659e-22,1.51790203827771e-22,1.59817131971401e-22,1.68450639626485e-22,1.77783952500551e-22,1.87936890107367e-22,1.99067583346839e-22,2.11391392696692e-22,2.25212308959847e-22,2.40976474351713e-22,2.59367004210941e-22,2.81486394141036e-22,3.09257437683781e-22,3.46444300751711e-22,4.01621977942161e-22,4.98176488080996e-22,7.16419548187939e-22,1.46243042825095e-21,6.41637008331972e-21,4.7918683223975e-20,9.15385979682672e-20,6.00607315289157e-20,2.24317618395518e-20,1.43138506478347e-21,6.35832340186952e-24,3.03622510339093e-26,1.2663071849723e-27,2.70163310235982e-28,1.37461679130726e-28,1.12624740738482e-28,1.00395391520997e-28,1.99261304413517e-28,5.69548060361738e-28,2.61031527466186e-27,2.32767742940649e-26,1.48507236151081e-25,9.6676610682947e-25,3.67994539861405e-24,1.00624080629127e-23,2.26966004658195e-23,4.57697438471542e-23,8.59115380251665e-23,1.5272100853052e-22,2.5858527882342e-22,4.17246961438009e-22,9.56493338298754e-22,1.55219231482818e-21,2.42991455930179e-21,3.67005218356137e-21,5.3527982928114e-21,7.55093090829689e-21,1.03235861663297e-20,1.37120317222777e-20,1.77375911576898e-20,2.2401093228089e-20,2.76827448057009e-20,3.3541376769613e-20,3.99121933048401e-20,4.67028868623677e-20,6.08727832882052e-20,7.14249683614106e-20,8.31922745357449e-20,9.63020191948704e-20,1.1090130619585e-19,1.27157201489138e-19,1.45256357104541e-19,1.65403857574136e-19,1.8782091350907e-19,2.12740879984158e-19,2.40402958477042e-19,2.71042712819821e-19,3.04878576059736e-19,3.4209322449967e-19,3.82808974841866e-19,4.27056603970565e-19,4.98244167793003e-19,5.60456709708787e-19,6.30100586881729e-19,7.08055160652832e-19
241.6667,4.95479939674087e-23,5.18708770321783e-23,5.42667156585713e-23,5.6733208573474e-23,5.92672774216742e-23,6.18649616125471e-23,6.45214453460521e-23,6.72308816083202e-23,6.99864852506763e-23,7.27804875575183e-23,7.56041939004308e-23,7.84480437253068e-23,8.13019458638677e-23,8.4155185141682e-23,9.91780958431868e-23,1.04127799988943e-22,1.09352311236014e-22,1.1487527766803e-22,1.20724000142782e-22,1.26930291462864e-22,1.33531599637585e-22,1.40572517791038e-22,1.48106818782182e-22,1.56200284204367e-22,1.64934722533734e-22,1.74413825966582e-22,1.84772012841612e-22,1.96188238809986e-22,2.08908433784466e-22,2.23283453629395e-22,2.39836129206605e-22,2.59386350474686e-22,2.83303289117034e-22,3.14070390164178e-22,3.56718986166218e-22,4.23018649630947e-22,5.46144469833884e-22,8.47465730417454e-22,1.99567132156535e-21,1.01854295024248e-20,6.12920183528951e-20,9.05577823055231e-20,5.56473344874606e-20,1.74788172634273e-20,7.93878982405061e-22,2.82819845911583e-24,1.53292099447276e-26,7.51950531037236e-28,1.76114509382773e-28,9.33142952940618e-29,7.68992073956022e-29,7.60391277588812e-29,1.30610011445742e-28,3.29999352080456e-28,1.41449166434862e-27,1.06603142992138e-26,7.1247931570399e-26,4.23570103897648e-25,1.6007477500739e-24,4.47441361491367e-24,1.04544828573984e-23,2.20353485200202e-23,4.35715787406897e-23,8.21888981275398e-23,1.48623716296269e-22,2.57508937578278e-22,4.26386606586074e-22,9.4756430454306e-22,1.56281369712888e-21,2.48369676765867e-21,3.80350705492256e-21,5.61755016164363e-21,8.01471965293811e-21,1.10699447377369e-20,1.48388867982539e-20,1.9355333778297e-20,2.4630692512118e-20,3.06543858316709e-20,3.73937430632038e-20,4.47923025476278e-20,5.27660089965185e-20,6.77220869605533e-20,7.96228880332113e-20,9.28951961665295e-20,1.07680671857286e-19,1.24144076226798e-19,1.42473820284394e-19,1.62882040273026e-19,1.85604015936625e-19,2.10896592033227e-19,2.39035102983108e-19,2.70308176762463e-19,3.05009491871773e-19,3.43425535922514e-19,3.85818328470005e-19,4.32401668420138e-19,4.83310108133674e-19,5.5920960680633e-19,6.28960015276399e-19,7.07020437916263e-19
242,4.71049791655544e-23,4.94630750934502e-23,5.19151400605504e-23,5.44624147726442e-23,5.71057455296049e-23,5.98455624264597e-23,6.26817963108521e-23,6.56138395501366e-23,6.86405144622818e-23,7.17600889322382e-23,7.49701938765301e-23,7.82679469565583e-23,8.16500286786349e-23,8.51128137822831e-23,8.86525588401644e-23,9.22658185070921e-23,9.59497968072956e-23,1.10855956324519e-22,1.1667262228532e-22,1.22857614066716e-22,1.29451148642638e-22,1.36501424868894e-22,1.440669898064e-22,1.52220060722232e-22,1.61051287236377e-22,1.70676781966775e-22,1.81248814349268e-22,1.92972702566807e-22,2.06134569016945e-22,2.21149057429798e-22,2.38645680375291e-22,2.59635015639678e-22,2.85853992849908e-22,3.20556762180147e-22,3.7055574701472e-22,4.52335955006437e-22,6.14422036803934e-22,1.04632580762832e-21,2.875319287216e-21,1.60906005001108e-20,7.29616800715258e-20,8.72505438873022e-20,4.98171040351357e-20,1.19610758718687e-20,4.14467148344485e-22,1.25504766944561e-24,7.95574745798834e-27,4.59433009238681e-28,1.17785672110546e-28,6.4896383851553e-29,4.68608242158924e-29,5.57686401502758e-29,8.63913235824695e-29,1.96977890197955e-28,7.69129972838671e-28,3.67427926175645e-27,3.28934493217872e-26,1.80967794937486e-25,6.74994521378466e-25,1.90918692777917e-24,4.5706011838195e-24,9.95904710994535e-24,2.05237987514874e-23,4.0669154996135e-23,7.78406768069959e-23,1.43718127562045e-22,2.55027018208466e-22,5.39764374651273e-22,9.38428659125289e-22,1.57223314400757e-21,2.53553198816138e-21,3.93567534403252e-21,5.88487497403945e-21,8.49047670251757e-21,1.18458373494349e-20,1.60236611696609e-20,2.1072586526e-20,2.7016620917955e-20,3.38560463851782e-20,4.15681842773325e-20,5.01065088526552e-20,5.93973045318945e-20,7.52890380122586e-20,8.87055451933059e-20,1.03670095175182e-19,1.2033977716065e-19,1.38898432879179e-19,1.59557581630661e-19,1.82556957686921e-19,2.08164493960541e-19,2.3667550529148e-19,2.68410530099171e-19,3.03711321307954e-19,3.42933946051207e-19,3.86438208215779e-19,4.34571818836466e-19,4.87648278215847e-19,5.45916828064525e-19,6.27476414564945e-19,7.05659239567929e-19
242.3333,4.42702145769713e-23,4.6601973408519e-23,4.90394179683092e-23,5.15861646587716e-23,5.424581157958e-23,5.70218858715914e-23,5.99178433997162e-23,6.29370720827886e-23,6.6082831784254e-23,6.93583097461661e-23,7.27666011079495e-23,7.63107824687055e-23,7.99939992760343e-23,8.38196008229747e-23,8.77913106415619e-23,9.19136023648905e-23,9.61920369923036e-23,1.00633849545022e-22,1.05248591982172e-22,4.77729151122388e-20,1.25088398498454e-22,1.3215022169529e-22,1.39752990555708e-22,1.47976803913042e-22,1.56923278322473e-22,1.66724144025139e-22,1.77554476103442e-22,1.89653876773945e-22,2.03361750555677e-22,2.1917895082448e-22,2.37881519254263e-22,2.60744538055227e-22,2.90018671711153e-22,3.30047785906046e-22,3.90229456209143e-22,4.94194702614724e-22,7.15070215065315e-22,1.35830740798962e-21,4.34952127022145e-21,2.45753549197055e-20,8.13715398963692e-20,8.19374634813336e-20,4.29857542292095e-20,8.62175433760643e-21,2.04979250968437e-22,5.6076327159197e-25,4.25625892565359e-27,2.52326537022524e-28,7.14294893770649e-29,4.17687758064511e-29,3.61600805303499e-29,4.05133079635998e-29,5.8179444363259e-29,1.06196851960314e-28,4.25738344053554e-28,2.07090774899209e-27,1.49990589190504e-26,7.68579098931205e-26,2.80739731377284e-25,7.95138460739115e-25,1.92929610053651e-24,4.29792640512246e-24,9.12832042478832e-24,1.87928726963734e-23,3.76741929702979e-23,7.34232532883062e-23,1.38499672908499e-22,2.51548449082229e-22,5.25880932123699e-22,9.28966770641857e-22,1.58013551603812e-21,2.58477931843765e-21,4.06544588108266e-21,6.15312626383493e-21,8.97616056825785e-21,1.26493058520051e-20,1.72653631362446e-20,2.28906521689149e-20,2.95641470911359e-20,3.72989046574258e-20,4.60838048146602e-20,5.58838462364795e-20,6.66376440502091e-20,8.36382757162531e-20,9.87574991451648e-20,1.15624260596528e-19,1.34412235495394e-19,1.55325877586334e-19,1.78601752196519e-19,2.04509528882654e-19,2.33352534476665e-19,2.65467671386662e-19,3.01224256507094e-19,3.4102119012387e-19,3.85281576973558e-19,4.34443830865661e-19,4.88947888967761e-19,5.4921498349756e-19,6.15619435128087e-19,7.03896122006824e-19
242.6667,4.11998047004598e-23,4.34673673274027e-23,4.58463579200001e-23,4.83418711409116e-23,5.09592225162318e-23,5.37039681221278e-23,5.65819168697297e-23,5.95991482289145e-23,6.27620423781701e-23,6.60773536735259e-23,6.95522129320908e-23,7.31942777203905e-23,7.70118577467151e-23,8.10140221149319e-23,8.52109544082238e-23,8.96142029583281e-23,9.42371874224194e-23,9.90958527454654e-23,1.04209395477474e-22,1.09601457181508e-22,1.15301488722345e-22,1.21346703519513e-22,1.58863618081842e-20,1.43547539418991e-22,1.52644692131353e-22,1.62672271159644e-22,1.73835156915172e-22,1.86418242644428e-22,2.00832209964209e-22,2.17694805784746e-22,2.37983518956156e-22,2.63342231041965e-22,2.96749040654835e-22,3.44123624617638e-22,4.1871972565766e-22,5.55303297864838e-22,8.67490990826508e-22,1.86172902836333e-21,6.80598841924166e-21,3.53672267684314e-20,8.57186791772399e-20,7.49188050932053e-20,3.56093269426182e-20,5.78053153569825e-21,9.02775939533819e-23,2.34550966207985e-25,2.19202683801372e-27,1.75686562945487e-28,5.37219468073696e-29,3.21905986601797e-29,2.75000240658731e-29,2.95836046827074e-29,4.00581506707483e-29,7.23256212251989e-29,2.41871013141663e-28,1.1257868930526e-27,6.88821676885775e-27,3.29166995041534e-26,1.16768129353146e-25,3.27925476126374e-25,7.98354767161766e-25,1.79961475623157e-24,3.89692095541893e-24,8.24293638061773e-24,1.71153866537401e-23,3.48327300491772e-23,6.91617807418538e-23,1.33187441386319e-22,2.47274837614775e-22,5.12370094402847e-22,9.18996913916799e-22,1.58616722395175e-21,2.63075746513234e-21,4.19162410388448e-21,6.42047497728652e-21,9.46938973501142e-21,1.34778503315597e-20,1.85622841317866e-20,2.48100158938195e-20,3.22778246874743e-20,4.09937935503576e-20,5.09601434180418e-20,6.21549326935387e-20,7.7622052803889e-20,9.28383607914398e-20,1.09869386511964e-19,1.28873617679318e-19,1.5004253813329e-19,1.73602866119037e-19,1.99818328091425e-19,2.28991094612063e-19,2.61462931162019e-19,2.97615834283208e-19,3.37871841173027e-19,3.82691434613712e-19,4.32569774554991e-19,4.88029642365275e-19,5.4960987168291e-19,6.17847500731913e-19,6.93252066581222e-19
